data,hora_inicio,duracao_segundos
2024-12-14,11:42:38,10.01
2024-12-14,11:42:50,10.01
2024-12-14,11:43:02,10.00
2024-12-14,11:43:14,10.06
2024-12-14,11:43:26,10.00
2024-12-14,11:43:38,10.00
2024-12-14,11:43:50,10.00
2024-12-14,11:44:02,10.01
2024-12-14,11:44:14,10.01
2024-12-14,11:44:26,10.02
2024-12-14,11:44:38,10.01
2024-12-14,11:44:50,10.00
2024-12-14,11:45:02,10.00
2024-12-14,11:45:14,10.00
2024-12-14,11:45:26,10.01
2024-12-14,12:30:26,95.49
2024-12-14,12:32:04,101.36
2024-12-14,12:33:47,104.26
2024-12-14,12:35:33,99.04
2024-12-14,12:37:14,102.09
2024-12-14,12:38:58,81.24
2024-12-14,12:40:22,100.65
2024-12-14,12:42:04,85.08
2024-12-14,12:43:31,98.54
2024-12-14,12:45:12,80.12
2024-12-14,12:46:34,10.05
2024-12-14,12:46:46,10.06
2024-12-14,12:46:58,10.04
2024-12-14,12:47:10,10.01
2024-12-14,12:47:22,10.05
2024-12-14,12:47:34,10.05
2024-12-14,12:47:46,10.06
2024-12-14,12:48:46,248.98
2024-12-14,12:52:57,187.28
2024-12-14,12:56:06,197.39
2024-12-14,12:59:26,201.74
2024-12-14,13:02:49,178.69
2024-12-14,13:05:50,148.24
2024-12-14,13:08:20,181.81
2024-12-14,13:11:24,206.28
2024-12-14,13:14:52,199.06
2024-12-14,13:18:13,211.61
2024-12-14,13:21:47,177.31
2024-12-14,13:24:46,175.29
2024-12-14,13:27:44,178.23
2024-12-14,13:30:44,213.50
2024-12-14,13:34:19,221.18
2024-12-14,13:38:03,219.47
2024-12-14,13:41:44,192.50
2024-12-14,13:44:59,189.68
2024-12-14,13:48:10,194.30
2024-12-14,13:51:27,214.92
2024-12-14,13:55:03,207.89
2024-12-14,13:58:33,217.91
2024-12-14,14:02:13,200.18
2024-12-14,14:05:35,191.06
2024-12-14,14:08:49,204.08
2024-12-14,14:12:15,167.60
2024-12-14,14:15:04,180.05
2024-12-14,14:18:06,176.95
2024-12-14,14:21:05,179.52
